pos,corr_resp,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,probe.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,,sequesntial RT,randomRT,,,,,,,,,,sequesntial RT,randomRT
50,c,0,0,0,0,2,2,10,2,,,,,44.64373879204504,45.64435141696595,45.64435141696595,45.64435141696595,45.64435141696595,45.66146587498952,46.6351545,46.6351545,,c,1,0.3776863319799304,None,tutorial4,001,2023-10-17_19h49.07.799,tutorial4,2023.1.3,None,,0.3776863319799304,0.7643215819261968,,,4,0.552184728,0.487704776,,,,,0.3776863319799304,0.7643215819261968
-150,z,0,0,0,0,2,3,11,3,,,,,47.02721904194914,48.02777733,48.02777733,48.02777733,48.02777733,48.04469091701321,49.01965058397036,49.01965058397036,,z,1,0.43305812298785895,None,tutorial4,001,2023-10-17_19h49.07.799,tutorial4,2023.1.3,None,,0.43305812298785895,0.7872333319392055,,,,,,,,,,0.43305812298785895,0.7872333319392055
-50,x,0,0,0,0,3,0,12,0,,,,,49.46811295906082,50.456046834005974,50.456046834005974,50.456046834005974,50.456046834005974,50.465069166966714,51.451989709050395,51.451989709050395,,x,1,0.36856853996869177,None,tutorial4,001,2023-10-17_19h49.07.799,tutorial4,2023.1.3,None,,0.36856853996869177,0.6183600819204003,,,,,,,,,,0.36856853996869177,0.6183600819204003
150,v,0,0,0,0,3,1,13,1,,,,,51.83503566705622,52.82795874995645,52.82795874995645,52.82795874995645,52.82795874995645,52.83762174996082,53.81979129195679,53.81979129195679,,v,1,0.3946095819119364,None,tutorial4,001,2023-10-17_19h49.07.799,tutorial4,2023.1.3,None,,0.3946095819119364,0.8749062489951029,,,,,,,,,,0.3946095819119364,0.8749062489951029
50,c,0,0,0,0,3,2,14,2,,,,,54.22729549999349,55.22791270900052,55.22791270900052,55.22791270900052,55.22791270900052,55.24442945898045,56.21905858395621,56.21905858395621,,c,1,0.3508496239082888,None,tutorial4,001,2023-10-17_19h49.07.799,tutorial4,2023.1.3,None,,0.3508496239082888,0.5221877478761598,,aver seq rt,0.478001274,,,,,,,0.3508496239082888,0.5221877478761598
-150,z,0,0,0,0,3,3,15,3,,,,,56.58607408,57.573138291947544,57.573138291947544,57.573138291947544,57.573138291947544,57.58199037495069,58.57720212,58.57720212,,z,1,0.9354643729748204,None,tutorial4,001,2023-10-17_19h49.07.799,tutorial4,2023.1.3,None,,0.9354643729748204,0.8913013320416212,,aver ranrt,0.621371278,,,,,,,0.9354643729748204,0.8913013320416212
-50,x,0,0,0,0,4,0,16,0,,,,,59.527485416969284,60.52138733398169,60.52138733398169,60.52138733398169,60.52138733398169,60.52138733398169,61.51881483395118,61.51881483395118,,x,1,0.33276949799619615,None,tutorial4,001,2023-10-17_19h49.07.799,tutorial4,2023.1.3,None,,0.33276949799619615,0.6098294149851426,,difference,0.143370004,,,,,,,0.33276949799619615,0.6098294149851426
150,v,0,0,0,0,4,1,17,1,,,,,61.86862054199446,62.856663584010676,62.856663584010676,62.856663584010676,62.856663584010676,62.865521874977276,63.86058308405336,63.86058308405336,,v,1,0.46247362392023206,None,tutorial4,001,2023-10-17_19h49.07.799,tutorial4,2023.1.3,None,,0.46247362392023206,0.8371819159947336,,,,,,,,,,0.46247362392023206,0.8371819159947336
50,c,0,0,0,0,4,2,18,2,,,,,64.33492954203393,65.32283475005534,65.32283475005534,65.32283475005534,65.32283475005534,65.33172570902389,66.31888566701673,66.31888566701673,,c,1,0.34465295705012977,None,tutorial4,001,2023-10-17_19h49.07.799,tutorial4,2023.1.3,None,,0.34465295705012977,0.7049352069152519,,,,,,,,,,0.34465295705012977,0.7049352069152519
-150,z,0,0,0,0,4,3,19,3,,,,,66.67753270897083,67.67107920895796,67.67107920895796,67.67107920895796,67.67107920895796,67.67107920895796,68.66087854199577,68.66087854199577,,z,1,0.647133874,None,tutorial4,001,2023-10-17_19h49.07.799,tutorial4,2023.1.3,None,,0.647133874,0.6231817899970338,,,,,,,,,,0.647133874,0.6231817899970338
